timestamp_s,rov_x,rov_y,rov_z,obstacle_count,max_obstacle_risk,most_dangerous_center_x,most_dangerous_bearing_rad,nominal_surge,nominal_sway,nominal_yaw_rate,safe_surge,safe_sway,safe_yaw_rate,planner_state,selected_side,debug_risk
7.80516,1.61133654,0.0,0.0,3,0.8036708831787109,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
7.901525,1.63058458,0.0,0.0,3,0.8056543469429016,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8.013724,1.6530466600000002,0.0,0.0,3,0.8076745271682739,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8.109186,1.67222796,0.0,0.0,3,0.8100584745407104,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8.212044,1.6926824800000002,0.0,0.0,3,0.8121187686920166,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8.308421,1.71192326,0.0,0.0,3,0.8143904805183411,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8.404928,1.7312633600000003,0.0,0.0,3,0.816557765007019,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8.508136,1.75029702,0.0,0.0,3,0.818753182888031,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8.602399,1.7708762,0.0,0.0,3,0.8211493492126465,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8.713622,1.7930861400000002,0.0,0.0,3,0.8233696222305298,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8.810122,1.8123098400000002,0.0,0.0,3,0.8260455131530762,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8.906407,1.8315591800000002,0.0,0.0,3,0.8284110426902771,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
9.002839,1.85078444,0.0,0.0,3,0.8308150172233582,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
9.113784,1.8700850800000002,0.0,0.0,3,0.8332623243331909,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
9.202045,1.89061776,0.0,0.0,3,0.8361462354660034,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
9.314457,1.9131216000000002,0.0,0.0,3,0.8384666442871094,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
9.410765,1.9324012000000002,0.0,0.0,3,0.8414977192878723,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
9.513453,1.95163324,0.0,0.0,3,0.8441548943519592,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
9.610007,1.9722876600000003,0.0,0.0,3,0.8470457792282104,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
9.705961,1.9915199000000001,0.0,0.0,3,0.8498159646987915,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
9.802267,2.01073886,0.0,0.0,4,0.8526278734207153,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
9.914445,2.0331284800000002,0.0,0.0,4,0.8555035591125488,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
10.010948,2.0525238800000003,0.0,0.0,4,0.8589498400688171,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
